iter	Passed	Remaining
823	27068	38632
824	27101	38599
825	27133	38565
826	27167	38533
827	27199	38499
828	27232	38467
829	27268	38438
830	27301	38406
831	27332	38370
832	27366	38338
833	27398	38306
834	27431	38272
835	27464	38239
836	27495	38204
837	27527	38171
838	27560	38138
839	27594	38106
840	27626	38071
841	27657	38037
842	27689	38002
843	27722	37971
844	27756	37939
845	27788	37905
846	27820	37870
847	27852	37836
848	27887	37807
849	27919	37773
850	27952	37740
851	27985	37708
852	28017	37674
853	28049	37640
854	28082	37607
855	28114	37573
856	28146	37539
857	28177	37504
858	28208	37468
859	28241	37436
860	28274	37404
861	28308	37372
862	28342	37341
863	28373	37306
864	28406	37272
865	28438	37238
866	28470	37204
867	28502	37171
868	28535	37138
869	28573	37113
870	28608	37083
871	28639	37047
872	28672	37014
873	28704	36980
874	28735	36945
875	28770	36915
876	28803	36882
877	28834	36847
878	28868	36816
879	28899	36781
880	28930	36746
881	28962	36712
882	28996	36680
883	29031	36650
884	29064	36618
885	29095	36582
886	29128	36549
887	29161	36517
888	29193	36483
889	29225	36450
890	29259	36417
891	29290	36383
892	29323	36350
893	29356	36318
894	29391	36288
895	29424	36255
896	29459	36224
897	29493	36193
898	29526	36161
899	29561	36130
900	29592	36095
901	29632	36071
902	29665	36039
903	29695	36002
904	29725	35966
905	29757	35932
906	29789	35898
907	29822	35865
908	29854	35831
909	29886	35798
910	29918	35763
911	29947	35727
912	29977	35691
913	30007	35653
914	30037	35618
915	30067	35582
916	30101	35550
917	30131	35514
918	30163	35480
919	30198	35449
920	30230	35416
921	30259	35379
922	30290	35344
923	30322	35310
924	30353	35276
925	30384	35240
926	30414	35204
927	30447	35171
928	30477	35136
929	30507	35100
930	30537	35063
931	30567	35028
932	30598	34992
933	30627	34956
934	30659	34921
935	30689	34886
936	30721	34852
937	30753	34819
938	30784	34784
939	30815	34749
940	30854	34723
941	30885	34689
942	30917	34654
943	30948	34620
944	30978	34583
945	31008	34548
946	31038	34513
947	31069	34477
948	31098	34441
949	31130	34407
950	31163	34375
951	31194	34340
952	31224	34304
953	31256	34271
954	31287	34236
955	31319	34202
956	31348	34165
957	31380	34131
958	31411	34097
959	31442	34062
960	31473	34027
961	31506	33995
962	31536	33960
963	31567	33925
964	31599	33891
965	31630	33856
966	31661	33822
967	31692	33787
968	31722	33752
969	31753	33717
970	31784	33682
971	31817	33650
972	31846	33614
973	31875	33577
974	31906	33542
